"","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","newgtdb_Genus"
"104","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JACPXR01"
"105","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JACPXU01"
"106","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JACQCH01"
"107","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JAHFFE01"
"108","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JAHFFF01"
"109","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JAMWCF01"
"110","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JAUSCU01"
"111","1-14-2-50-48-13","FALSE","Bacteria","Patescibacteriota","Gracilibacteria","1-14-2-50-48-13","1-14-2-50-48-13"
"112","1-14-2-50-48-13","FALSE","Bacteria","Patescibacteriota","Gracilibacteria","1-14-2-50-48-13","JBBKXV01"
"113","16-39-46","FALSE","Bacteria","Pseudomonadota","Alphaproteobacteria","16-39-46","16-39-46"
"116","16-39-46","FALSE","Bacteria","Pseudomonadota","Alphaproteobacteria","16-39-46","M30B67"
"117","1604HC","FALSE","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","CAJXXZ01"
"118","1604HC","FALSE","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Cytomitobacter"
"120","1604HC","FALSE","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","G023898705"
"121","1604HC","FALSE","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Nesciobacter"
"122","172606-1","FALSE","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","CADCTQ01"
"125","172606-1","FALSE","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Rhodocytophaga"
"127","172606-1","FALSE","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Xanthocytophaga"
"132","2-01-FULL-39-13","FALSE","Bacteria","Patescibacteriota","WWE3","2-01-FULL-39-13","2-01-FULL-39-13"
"133","2-01-FULL-39-13","FALSE","Bacteria","Patescibacteriota","WWE3","2-01-FULL-39-13","GCA-002789015"
"135","2-01-FULL-39-13","FALSE","Bacteria","Patescibacteriota","WWE3","2-01-FULL-39-13","JALWZX01"
"136","2-01-FULL-39-13","FALSE","Bacteria","Patescibacteriota","WWE3","2-01-FULL-39-13","JAUPVU01"
"137","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","2-01-FULL-39-33"
"140","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","CAIOLF01"
"141","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","CAIPBY01"
"143","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","CAISTG01"
"150","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","CAIVNC01"
"151","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JAGONZ01"
"152","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JAKQDP01"
"153","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JBAXTU01"
"154","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JBAYJM01"
"155","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JBAZMW01"
"156","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JBAZQS01"
"157","2-01-FULL-39-33","FALSE","Bacteria","Patescibacteriota","Patescibacteriia","2-01-FULL-39-33","JBBTQN01"
"158","2-01-FULL-40-14","FALSE","Bacteria","Patescibacteriota","Microgenomatia","GCA-001788215","2-01-FULL-40-14"
"159","2-01-FULL-40-14","FALSE","Bacteria","Patescibacteriota","Microgenomatia","GCA-001788215","DATEBW01"
"160","2-01-FULL-40-14","FALSE","Bacteria","Patescibacteriota","Microgenomatia","GCA-001788215","JACQMD01"
"161","2-01-FULL-41-18","FALSE","Bacteria","Patescibacteriota","WWE3","UBA101185","2-01-FULL-41-18"
"162","2-01-FULL-41-18","FALSE","Bacteria","Patescibacteriota","WWE3","UBA101185","JBBTST01"
"163","2-01-FULL-43-14","FALSE","Bacteria","Patescibacteriota","Microgenomatia","Woykebacterales","2-01-FULL-43-14"
"164","2-01-FULL-43-14","FALSE","Bacteria","Patescibacteriota","Microgenomatia","Woykebacterales","JAGVAV01"
"165","2-01-FULL-43-14","FALSE","Bacteria","Patescibacteriota","Microgenomatia","Woykebacterales","JAMCZT01"
"166","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","2-01-FULL-45-10"
"172","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","2-01-FULL-45-10-A"
"173","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","CAIMPC01"
"177","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","FEN-1320"
"178","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","FEN-1322"
"184","2-01-FULL-45-10","FALSE","Bacteria","Omnitrophota","Koll11","2-01-FULL-45-10","JACROW01"
